company name,location
"Acquia, Inc","['U.S.', 'Austin', 'Texas', 'United States', 'Boston', 'MA', 'Portland', 'Oregon', 'Santa Clara', 'Washington', 'D.C.', 'McLean', 'VA', 'UK', 'Brighton', 'United Kingdom\n\n\n\n\n\n\n\n\nBrisbane', 'Australia', 'Brisbane City', 'Munich', 'Germany', 'Paris', 'France', 'Pune', 'India', 'Reading', 'United Kingdom', 'Sydney', 'North Sydney NSW', 'Tokyo', 'Japan', 'Toronto', 'Canada', 'AfricaSouth Georgia', 'British)Virgin Islands', 'LabradorNorthwest TerritoriesNova', 'Chi Minh', 'thanh pho', 'Bazar zilaDhaka zilaDinajpur zilaFaridpur zilaFeni', 'California', 'Tenggara', 'Quzaqstan', 'FjordaneSir', 'Osetiya', 'Dolgano', 'H', ""ThaniUttaraditYalaYasothonSughdKhatlonGorno-BadakhshanAhalBalkanDasoguzLebapMaryBéjaBen ArousBizerteGabèsGafsaJendoubaKairouanRasserineKebiliL'ArianaLe"", ""Oblast'Chernihivs'ka""]"
Acquire Media,['US']
